epoch,accuracy,loss,val_accuracy,val_loss
1,0.3,0.1628367757797241,0.125,0.1428893232345581
2,6.1,0.10241394090652466,22.75,0.06775404244661332
3,49.2,0.04023890721797943,69.75,0.022899946868419646
4,83.9,0.012213431298732758,86.5,0.010080762878060342
5,92.1,0.005331408858299256,90.125,0.00691837090998888
6,94.2,0.003545244224369526,91.625,0.005697880815714598
7,96.3,0.0024964373409748076,92.5,0.005001783408224583
8,96.4,0.0022651201896369457,92.875,0.004610598217695951
9,97.1,0.001762221187353134,93.375,0.004282649178057909
10,98.1,0.0014730900824069977,93.5,0.00396997669711709

Train Accuracy: 98.1
Test Accuracy: 93.5

ClassName,Accuracy
cats,94.5
dogs,92.5
